city,country,year_and_week,year,avg_uv_weekly,avg_temp_weekly,avg_daylight_time_weekly,alpha-3,region
Izmir,Turkey,36.0,2023.0,7.857142857142858,25.585714285714285,2024-04-18 12:47:34.285714,TUR,Asia
Berlin,Germany,37.0,2023.0,6.285714285714286,20.257142857142856,2024-04-18 12:47:00.000000,DEU,Europe
Lisbon,Portugal,37.0,2023.0,6.142857142857143,21.057142857142857,2024-04-18 12:30:08.571429,PRT,Europe
Izmir,Turkey,37.0,2023.0,7.857142857142858,24.52857142857143,2024-04-18 12:30:25.714286,TUR,Asia
Berlin,Germany,38.0,2023.0,5.857142857142857,19.07142857142857,2024-04-18 12:18:08.571429,DEU,Europe
Izmir,Turkey,38.0,2023.0,8.142857142857144,24.7,2024-04-18 12:13:00.000000,TUR,Asia
Lisbon,Portugal,38.0,2023.0,5.857142857142857,19.82857142857143,2024-04-18 12:12:51.428571,PRT,Europe
Izmir,Turkey,39.0,2023.0,6.428571428571429,23.457142857142856,2024-04-18 11:55:51.428571,TUR,Asia
Lisbon,Portugal,39.0,2023.0,7.0,22.785714285714285,2024-04-18 11:55:17.142857,PRT,Europe
Berlin,Germany,39.0,2023.0,5.857142857142857,19.02857142857143,2024-04-18 11:49:34.285714,DEU,Europe
Berlin,Germany,40.0,2023.0,4.571428571428571,15.771428571428572,2024-04-18 11:21:08.571429,DEU,Europe
Lisbon,Portugal,40.0,2023.0,6.857142857142857,22.7,2024-04-18 11:37:51.428571,PRT,Europe
Izmir,Turkey,40.0,2023.0,6.7142857142857135,20.957142857142856,2024-04-18 11:38:00.000000,TUR,Asia
Izmir,Turkey,41.0,2023.0,6.571428571428571,18.885714285714283,2024-04-18 11:21:17.142857,TUR,Asia
Berlin,Germany,41.0,2023.0,4.142857142857143,14.142857142857142,2024-04-18 10:52:42.857143,DEU,Europe
Lisbon,Portugal,41.0,2023.0,6.285714285714286,22.128571428571426,2024-04-18 11:20:17.142857,PRT,Europe
Izmir,Turkey,42.0,2023.0,6.428571428571429,18.671428571428567,2024-04-18 11:04:17.142857,TUR,Asia
Berlin,Germany,42.0,2023.0,3.142857142857143,9.142857142857144,2024-04-18 10:25:00.000000,DEU,Europe
Lisbon,Portugal,42.0,2023.0,4.571428571428571,18.371428571428567,2024-04-18 11:03:00.000000,PRT,Europe
Izmir,Turkey,43.0,2023.0,6.571428571428571,21.085714285714285,2024-04-18 10:48:08.571429,TUR,Asia
Lisbon,Portugal,43.0,2023.0,4.428571428571429,17.885714285714283,2024-04-18 10:46:42.857143,PRT,Europe
Berlin,Germany,43.0,2023.0,3.2857142857142856,11.228571428571428,2024-04-18 09:57:42.857143,DEU,Europe
Izmir,Turkey,44.0,2023.0,6.142857142857143,20.628571428571426,2024-04-18 10:32:08.571429,TUR,Asia
Lisbon,Portugal,44.0,2023.0,4.142857142857143,17.0,2024-04-18 10:32:00.000000,PRT,Europe
Berlin,Germany,44.0,2023.0,3.142857142857143,10.671428571428573,2024-04-18 09:31:08.571429,DEU,Europe
Lisbon,Portugal,45.0,2023.0,4.285714285714286,16.428571428571427,2024-04-18 10:17:00.000000,PRT,Europe
