date,city,region_x,country,avg_temp_c,avg_humidity,condition_text,condition_icon,uv,sunrise,sunset,day_of_month,month_of_year,year,day_of_week,year_and_week,sunrise_time,sunset_time,daylight_int,day_condition,daylight_time,weekly_avg_uv,alpha-3,region_y
2023-08-09,Berlin,Berlin,Germany,16.4,61.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,5.0,05:39 AM,08:44 PM,9.0,august   ,2023.0,wednesday,32.0,05:39:00,20:44:00,-15:05:00,0,2024-04-18 15:05:00,5.0,DEU,Europe
2023-08-08,Berlin,Berlin,Germany,16.0,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,5.0,05:37 AM,08:46 PM,8.0,august   ,2023.0,tuesday  ,32.0,05:37:00,20:46:00,-15:09:00,0,2024-04-18 15:09:00,5.0,DEU,Europe
2023-08-07,Berlin,Berlin,Germany,15.0,78.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,4.0,05:35 AM,08:48 PM,7.0,august   ,2023.0,monday   ,32.0,05:35:00,20:48:00,-15:13:00,3,2024-04-18 15:13:00,5.0,DEU,Europe
2023-08-06,Berlin,Berlin,Germany,17.1,75.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,4.0,05:34 AM,08:50 PM,6.0,august   ,2023.0,sunday   ,31.0,05:34:00,20:50:00,-15:16:00,3,2024-04-18 15:16:00,5.0,DEU,Europe
2023-08-05,Berlin,Berlin,Germany,18.6,68.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.0,05:32 AM,08:52 PM,5.0,august   ,2023.0,saturday ,31.0,05:32:00,20:52:00,-15:20:00,2,2024-04-18 15:20:00,5.0,DEU,Europe
2023-08-04,Berlin,Berlin,Germany,19.2,65.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,5.0,05:31 AM,08:54 PM,4.0,august   ,2023.0,friday   ,31.0,05:31:00,20:54:00,-15:23:00,0,2024-04-18 15:23:00,5.0,DEU,Europe
2023-08-03,Berlin,Berlin,Germany,19.3,70.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,5.0,05:29 AM,08:55 PM,3.0,august   ,2023.0,thursday ,31.0,05:29:00,20:55:00,-15:26:00,0,2024-04-18 15:26:00,5.0,DEU,Europe
2023-08-02,Berlin,Berlin,Germany,17.8,78.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,5.0,05:27 AM,08:57 PM,2.0,august   ,2023.0,wednesday,31.0,05:27:00,20:57:00,-15:30:00,3,2024-04-18 15:30:00,5.0,DEU,Europe
2023-08-01,Berlin,Berlin,Germany,17.6,85.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,5.0,05:26 AM,08:59 PM,1.0,august   ,2023.0,tuesday  ,31.0,05:26:00,20:59:00,-15:33:00,0,2024-04-18 15:33:00,5.0,DEU,Europe
2023-08-03,Lisbon,Lisboa,Portugal,21.0,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.0,06:39 AM,08:45 PM,3.0,august   ,2023.0,thursday ,31.0,06:39:00,20:45:00,-14:06:00,1,2024-04-18 14:06:00,5.0,PRT,Europe
